GID,GEOM_O,IDENT,ADRESSE,CAMPGPS,CODEPOST,NATURE,IDMOUVT,IDSAE,LIGNEDES,LONGARR,DATECREA,DATEDEPL,DATEGEAR,DATEGEMO,DATEGEVO,MOBILIE1,MOBILIE2,MOBILIE3,MOBILIE4,NOMARRET,REFMOB1,REFMOB2,REFMOB3,REFMOB4,VILLE,ARSCOL,PRESCORB,CONFORT,NIVACPMR,PHOTO,ARTRAN,NIVSERV,RESEAU,CDATE,MDATE
159,360,2154,face 57 avenue de la Dame Blanche,19970827000000,33320,Sur chaussée classique,4,,Corol 37,,20010101000000,,20000906000000,,,Poteau,,,,Dame Blanche,,,,,LE TAILLAN-MEDOC,,,,,,,,BUS,20170830151000,20170830175112
167,360,5905,6 rue du Moulin Rouge,20100723000000,33200,Sur chaussée classique,14,,Citéis 41,,20100222000000,20100222000000,20100222000000,20100222000000,20100222000000,Poteau,,,,Ferry,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175112
168,360,3766,rue de Tauzia,20041014000000,33800,,11,,C,,20040424000000,20040424000000,20040424000000,20040424000000,20040424000000,abribus tramway,,,,TAUZIA,,,,,BORDEAUX,,,,,,,,TRAM,20170830151000,20170830175112
170,360,5396,place Paul Doumer,20080807000000,33000,,11,,C,,20071119000000,20071119000000,20071119000000,20071119000000,,abribus tramway,,,,PLACE PAUL DOUMER,,,,,BORDEAUX,,,,,,,,TRAM,20170830151000,20170830175112
173,360,2623,14 place Courréjean,20060719000000,33140,Sur chaussée classique,8,,,,20010101000000,20060227000000,19990818000000,20151019000000,,Non matérialisé,,,,Courréjean,,,,,VILLENAVE-D'ORNON,SCOLAIRE,,,,,,,,20170830151000,20170830180636
174,360,6976,avenue de l'Hippodrome,20131010000000,33110,Terminus Bus norme access,4,,Lianes 2,,20130902000000,20130902000000,20130902000000,20130902000000,20130902000000,Abribus V1,,,,Le Sulky,13-31,,,,LE BOUSCAT,,,,,,,,BUS,20170830151000,20170830175112
176,360,189,107 rue Victor Hugo,19970716000000,33150,Sur chaussée classique,6,,27,,20010101000000,,20000202000000,,,Poteau,,,,Victor Hugo,,,,,CENON,,,,,,,,BUS,20170830151000,20170830175112
178,360,3641,"120, avenue René Cassagne",20080729000000,33150,Sur chaussée classique,6,,,,20010101000000,20040703000000,20040703000000,20070628000000,20040703000000,Abribus V1,,,,La Morlette,12.48,,,,CENON,,,,,,,,,20170830151000,20170830171804
179,360,7335,rue Alphonse Daudet,20141020000000,33700,Quai Tramway,11,,A,,20150124000000,20150124000000,20150124000000,20150124000000,20150124000000,abribus tramway,,,,LES PINS,,,,,MERIGNAC,,,,,,,,TRAM,20170830151000,20170830175112
180,360,1058,"266, cours Balguerie Stuttenberg",19970806000000,33300,Sur chaussée classique,6,,,35,20010101000000,,19990803000000,,,Poteau,,,,Bourbon,,,,,BORDEAUX,,,,,,,,,20170830151000,20170830171636
184,360,1142,rue de Romainville,19970709000000,33600,Sur chaussée classique,14,,23,,20010101000000,,19990823000000,,,Poteau,,,,Tartifume,,,,,PESSAC,,,,,,,,BUS,20170830151000,20170830175112
188,360,5535,rue Joseph Brunet,20080804000000,33300,,11,,B,,20081020000000,20081020000000,20081020000000,20081020000000,,abribus tramway,,,,CLAVEAU,,,,,BORDEAUX,,,,,,,,TRAM,20170830151000,20170830175112
189,360,5310,rue Alessandro Volta,20141020000000,33700,Sur chaussée classique,14,,Flexo 48 Résa,,20070705000000,20081021000000,20070705000000,20100222000000,20070705000000,Poteau,,,,Volta,,,,,MERIGNAC,,,,,,,,,20170830151000,20170830171836
192,360,5863,face au 102 avenue Salvador Allende,20100720000000,33130,Sur chaussée classique,8,,,,20100222000000,20100222000000,20100222000000,20100222000000,20100222000000,Poteau,,,,Gounod,,,,,BEGLES,,,,,,,,,20170830151000,20170830171856
193,360,1180,43 rue Debussy,19990819000000,33140,Sur chaussée classique,8,,Corol 36,,20010101000000,,20130902000000,20160829000000,,Poteau,,,,Rameau,,,,,VILLENAVE-D'ORNON,,,,,,,,BUS,20170830151000,20170830175112
199,360,165,face au 106 rue de Bethmann,19970709000000,33000,Sur chaussée classique,14,,24/Citéis 41,,20010101000000,,19990823000000,,,Poteau,,,,Mahéla,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175112
200,360,6792,avenue de la Jallère,20141022000000,33300,Sur chaussée classique,8,,,,20130315000000,20130315000000,20130315000000,20141219000000,20130315000000,Poteau,,,,Jallère,,,,,BORDEAUX,,,,,,,,,20170830151000,20170830171912
202,360,1086,102 rue du Pradas,19970711000000,33700,Sur chaussée classique,14,,Citéis 42,,20010101000000,,20000605000000,,,Poteau,,,,Demosthène,,,,,MERIGNAC,,,,,,,,BUS,20170830151000,20170830175112
208,360,7437,avenue du Haut Lévêque,,33600,Quai Tramway,11,,B,,20150622000000,20150622000000,20150622000000,,20150622000000,,,,,GARE DE PESSAC ALOUETTE,,,,,PESSAC,,,,,,,,TRAM,20170830151000,20170830175112
209,360,1408,rue du Docteur Gabriel Péry,20060728000000,33000,Sur chaussée classique,8,,25,,20010101000000,19971222000000,20031215000000,20051026000000,19971222000000,Abribus V1 non éclairé,,,,Imhotep,7.80,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175112
210,360,4003,3 rue des Peyreyres,20040922000000,33320,Sur chaussée classique,8,,Citéis 72,,20010101000000,20040703000000,20040703000000,20040703000000,20040703000000,Poteau,,,,Le Lagunet,,,,,EYSINES,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180636
211,360,2899,chemin de Pauge,20070919000000,33140,Sur chaussée classique,8,,Corol 36,,20010101000000,,19990818000000,20060925000000,,Abribus V1 non éclairé,,,,Rigaillou,27.43,,,,VILLENAVE-D'ORNON,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180636
214,360,6470,avenue de Laroque,20121024000000,33300,Terminus Bus norme access,4,,,,,,20110829000000,20110829000000,20110829000000,Abribus V2,,,,Les Aubiers,7-322,,,,BORDEAUX,,,,,,,,,20170830151000,20170830171908
215,360,608,197/201 rue de Bègles,19970702000000,33800,Sur chaussée classique,14,,Lianes 15,,20010101000000,,19991118000000,,,Poteau,,,,Pelleport,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175112
216,360,467,avenue Rene Cassin (devant le CRNA),19970721000000,33700,Hors chaussée intégral,6,,Flexo 48 Résa/Lianes 1,,20010101000000,,20000531000000,,,Poteau,,,,Cassin,,,,,MERIGNAC,,,,,,,,BUS,20170830151000,20170830175112
217,360,994,avenue de l'Hippodrome,19970728000000,33110,Sur chaussée classique,14,,,,20010101000000,,19990902000000,,,Poteau,,,,Le Sulky,,,,,LE BOUSCAT,,,,,,,,,20170830151000,20170830171944
218,360,458,51 avenue Marc Desbats,19990826000000,33600,Sur chaussée classique,14,,87/Citéis 44,,20010101000000,,19990830000000,,,Poteau,,,,Le Chiquet,,,,,PESSAC,,,,,,,,BUS,20170830151000,20170830175112
222,360,1140,308 cours du Maréchal Gallieni,20060712000000,33400,Sur chaussée classique,14,,Lianes 4,,20010101000000,,19990830000000,20051109000000,,Abribus V2 non éclairé,,,,Sembat,26.17,,,,TALENCE,,,,,,,,BUS,20170830151000,20170830175112
224,360,3315,avenue de Foncastel,20100722000000,33700,Sur chaussée classique,6,,Lianes 11,,20010101000000,20100222000000,20000630000000,,,Poteau,,,,Croustet,,,,,MERIGNAC,,,,,,,,BUS,20170830151000,20170830175112
226,360,2071,avenue Lafontaine (côté impair),19970718000000,33560,Sur chaussée classique,8,,92/93/Flexo 50,,20010101000000,,20040703000000,,,Poteau,,,,Terrasson,,,,,CARBON-BLANC,,,,,,,,BUS,20170830151000,20170830175112
228,360,3327,10 rue du 8 Mai 1945,20121022000000,33150,Sur chaussée norme access,8,,Corol 32,,20010101000000,20110709000000,19990715000000,20120320000000,20110709000000,Abribus V1,,,,Rubens,12-53,,,,CENON,,,,,,,,BUS,20170830151000,20170830175112
230,360,1122,chemin de Leysotte (rond point Néruda),20111004000000,33140,Sur chaussée classique,14,,87,,20010101000000,20080721000000,19990818000000,20060926000000,20080721000000,Abribus V1 éclairé,,,,Le Skating,27.36,,,,VILLENAVE-D'ORNON,,,,,,,,BUS,20170830151000,20170830175112
231,360,919,119 avenue du Général Leclerc,19970722000000,33200,Sur chaussée classique,4,,Lianes 3,35,20010101000000,,19990827000000,,,Poteau,,,,Vélodrome,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175112
235,360,876,devant la station de lavage,20071002000000,33270,Sur chaussée classique,6,,28/80/Flexo 52,,20010101000000,20070618000000,19990715000000,20070618000000,20070618000000,Abribus V1 éclairé,,,,Caussade,14.46,,,,FLOIRAC,,,,,,,,BUS,20170830151000,20170830175112
236,360,1078,270 Rue Pasteur,19970722000000,33200,Sur chaussée classique,6,,Citéis 41,,20010101000000,,19990716000000,,,Poteau,,,,Rue Richelieu,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175112
237,360,7434,avenue de Canéjan,,33600,Quai Tramway,11,,B,,20150622000000,20150622000000,20150622000000,,20150622000000,,,,,CAP METIERS,,,,,PESSAC,,,,,,,,TRAM,20170830151000,20170830175112
238,360,5786,13 rue du Château d'eau,20100723000000,33700,Sur chaussée classique,4,,Lianes 16,,20100222000000,20100222000000,20100222000000,20100222000000,20100222000000,Poteau,,,,Capeyron,,,,,MERIGNAC,,,,,,,,BUS,20170830151000,20170830175112
323,360,1014,217/225 cours de la Somme,19970702000000,33800,Hors chaussée semi-intégré,14,,58/Lianes 5 Sud,,20010101000000,,19990716000000,,20010101000000,Poteau,,,,Tillet,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175116
331,360,2172,face au 1 rue Ausone,20050921000000,33560,Sur chaussée classique,8,,Lianes 7/Spécifique 96,,20010101000000,20050606000000,20001020000000,20050606000000,,Abribus V1 non éclairé,,,,Ausone,11.04,,,,CARBON-BLANC,,,,,,,,BUS,20170830151000,20170830175116
335,360,366,avenue de l'Hippodrome,19970728000000,33320,Sur chaussée classique,14,,,,20010101000000,,19990902000000,,,Poteau,,,,Le Sulky,,,,,EYSINES,,,,,,,,,20170830151000,20170830171804
339,360,1448,140 rue Raymond Lavigne,19970729000000,33110,Sur chaussée classique,4,,Corol 33,,20010101000000,,20000914000000,,,Poteau,,,,Lakanal,,,,,LE BOUSCAT,,,,,,,,BUS,20170830151000,20170830175116
340,360,775,107 cours du Maréchal Galliéni,19970709000000,33000,Sur chaussée classique,14,,Lianes 4,,20010101000000,,19990730000000,,,Poteau,,,,14 Juillet,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175116
344,360,1358,136 avenue Jean Jaurès,20131015000000,33600,Sur chaussée classique,14,,Lianes 4,,20010101000000,,19990830000000,20130731000000,20091015000000,Abribus V1,,,,Mozart,20-197,,,,PESSAC,,,,,,,,BUS,20170830151000,20170830175116
345,360,3949,5/7 rue Cora Morton,20041005000000,33290,Sur chaussée classique,8,,Spécifique 77,,20010101000000,20040703000000,20040703000000,20040703000000,20040703000000,Poteau,,,,Cora Morton,,,,,BLANQUEFORT,,,,,,,,BUS,20170830151000,20170830175116
346,360,1005,75 rue Léon Gambetta,19970703000000,33130,Sur chaussée classique,8,,Citéis 43,,20010101000000,,19991118000000,,,Poteau,,,,Liberté,,,,,BEGLES,,,,,,,,BUS,20170830151000,20170830175116
347,360,6752,avenue de la Vieille Tour,20131015000000,33400,Sur chaussée classique,14,,Lianes 8,,20121126000000,20121126000000,20121126000000,20130221000000,20121126000000,Poteau,,,,INRIA,,,,,TALENCE,,,,,,,,BUS,20170830151000,20170830175116
348,360,1095,quai Français (côté impair),20080730000000,33530,Hors chaussée intégral,8,,91/92,,20010101000000,,20001020000000,20080531000000,,Poteau,,,,Quai Français,,,,,BASSENS,,,,,,,,BUS,20170830151000,20170830175116
350,360,698,"28, rue de Saget",19970710000000,33800,Sur chaussée classique,6,,58/Lianes 10,,20010101000000,,19990705000000,,,Poteau,,,,Saget,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175116
352,360,956,face au 10 quai de Paludate,19970710000000,33800,Hors chaussée intégral,6,,58,,20010101000000,,20040703000000,,,Poteau,,,,Pont St Jean,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175116
353,360,2770,place de la République,19970709000000,33610,Hors chaussée intégral,14,,23,,20010101000000,,19990830000000,,,Abribus simple SIROCCO domus,,,,Cestas Gazinet,,,,,CESTAS,,,,,,,,BUS,20170830151000,20170830175116
356,360,4020,36 rue Georges Lafont,20041019000000,33110,Sur chaussée classique,8,,Citéis 46,,20010101000000,20040703000000,20040703000000,20040703000000,20040703000000,Poteau,,,,Combes,,,,,LE BOUSCAT,,,,,,,,BUS,20170830151000,20170830175116
357,360,3182,87 cours de l'Yser,20051021000000,33000,Hors chaussée semi-intégré,14,,20,,20010101000000,,19991117000000,20051017000000,,Abribus V3 éclairé,,,,Lafontaine,7.217,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175116
358,360,742,219 cours de l'Yser,19970703000000,33000,Hors chaussée semi-intégré,14,,20,,20010101000000,,19991117000000,,,Poteau,,,,Beautiran,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175116
361,360,46,face au 1170 avenue de Toulouse,20131011000000,33140,Sur chaussée classique,8,,,,20010101000000,20130603000000,20100222000000,,,Poteau,,,,Avenue de Léognan,,,,,CADAUJAC,,,,,,,,,20170830151000,20170830171824
363,360,3718,place Pey Berland,20041012000000,33000,,11,,A,,20010101000000,20031221000000,20031221000000,20031221000000,20031221000000,abribus tramway,,,,HOTEL DE VILLE,,,,,BORDEAUX,,,,,,,,TRAM,20170830151000,20170830175116
364,360,3750,cours de l'Argonne,20041008000000,33000,,11,,B,,20010101000000,20040703000000,20040703000000,20040703000000,20040703000000,abribus tramway,,,,BERGONIE,,,,,BORDEAUX,,,,,,,,TRAM,20170830151000,20170830175116
367,360,3773,quai Richelieu,20041012000000,33000,,11,,C,,20010101000000,20040424000000,20040424000000,20040424000000,20040424000000,abribus tramway,,,,PORTE DE BOURGOGNE,,,,,BORDEAUX,,,,,,,,TRAM,20170830151000,20170830175116
369,360,3768,quai Sainte Croix,20041014000000,33800,,11,,C,,20010101000000,20040424000000,20040424000000,20040424000000,20040424000000,abribus tramway,,,,SAINTE-CROIX,,,,,BORDEAUX,,,,,,,,TRAM,20170830151000,20170830175116
372,360,2520,7 rue de Landegrand,20070926000000,33290,Sur chaussée classique,8,,,,20010101000000,,20000927000000,20061019000000,,Abribus V1,,,,Le Printemps,19.15,,,,PAREMPUYRE,,,,,,,,,20170830151000,20170830171724
374,360,2557,1 avenue du 11 novembre,20060726000000,33290,Sur chaussée classique,4,,,,20010101000000,,20000927000000,20060109000000,,Abribus V1,,,,Les 4 Ponts,6.2038,,,,BLANQUEFORT,,,,,,,,,20170830151000,20170830171724
375,360,1040,138 avenue Pasteur,20141023000000,33600,Sur chaussée classique,14,,23/24/Flexo 54/Lianes 4,,20010101000000,,19990830000000,20020124000000,,Poteau,,,,Ronsard,,,,,PESSAC,,,,,,,,BUS,20170830151000,20170830175116
376,360,589,21 rue de Paris,19970711000000,33700,Sur chaussée classique,14,,23/Flexo 54,,20010101000000,,19991125000000,,,Poteau,,,,Rue de Paris,,,,,MERIGNAC,,,,,,,,BUS,20170830151000,20170830175116
379,360,1137,35 rue de Dehes,19970723000000,33185,Sur chaussée classique,8,,30,,20010101000000,,19990830000000,,,Poteau,,,,Dehès,,,,,LE HAILLAN,,,,,,,,BUS,20170830151000,20170830175116
381,360,1070,41 rue Edmond Rostand,19970723000000,33185,Sur chaussée classique,8,,,,20010101000000,,19990830000000,20150202000000,,Non matérialisé,,,,Mermoz,,,,,LE HAILLAN,,,,,,,,,20170830151000,20170830171636
382,360,1001,face au 50 avenue de la Maene,19970730000000,33520,Sur chaussée classique,4,,,,20010101000000,,20000919000000,,,Poteau,,,,Avenue de la Marne,,,,,BRUGES,,,,,,,,,20170830151000,20170830171636
385,360,5954,117/119 rue François de Sourdis,20111012000000,33000,Sur chaussée classique,4,,,,20100222000000,20100222000000,20100222000000,20100222000000,20100222000000,Poteau,,,,Dandicolle,,,,,BORDEAUX,,,,,,,,,20170830151000,20170830171900
387,360,72,25 avenue de Saint Médard,19970722000000,33320,Sur chaussée classique,4,,Lianes 3,,20010101000000,,19990827000000,,,Poteau,,,,Violettes,,,,,EYSINES,,,,,,,,BUS,20170830151000,20170830175116
388,360,1104, rue Aurel Chazeau,19970723000000,33160,Sur chaussée classique,4,,Flexo 55 Résa/Lianes 3,20,20010101000000,,19990827000000,,,Poteau,,,,Route de Lacanau,,,,,SAINT-MEDARD-EN-JALLES,,,,,,,,BUS,20170830151000,20170830175116
391,360,1136,135 avenue Jean Cordier,19971209000000,33600,Sur chaussée classique,14,,24,,20010101000000,,19990823000000,,,Poteau,,,,Fraternité,,,,,PESSAC,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180640
392,360,556,158/159 avenue de Madran,20070920000000,33600,Sur chaussée classique,14,,23/Citéis 44,,20010101000000,20070226000000,19990830000000,19990830000000,19990830000000,Poteau,,,,Madran,,,,,PESSAC,,,,,,,,BUS,20170830151000,20170830175116
394,360,347,côte de Bouliac,20050920000000,33270,Hors chaussée intégral,6,,62/Flexo 38/Flexo 52/Résago Bouliac,,20010101000000,,20000128000000,,,Poteau,,,,Vialle,,,,,BOULIAC,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180640
395,360,1490,32 avenue de Californie,19970709000000,33600,Sur chaussée classique,14,,,,20010101000000,,19990830000000,,,Poteau,,,,Los Angeles,,,,,PESSAC,,,,,,,,,20170830151000,20170830171652
396,360,1850,rue du Marais,19970707000000,33170,Sur chaussée classique,8,,Spécifique 86,,20010101000000,,20000915000000,,,Poteau,,,,Maréchal Juin,,,,,GRADIGNAN,,,,,,,,BUS,20170830151000,20170830175116
241,360,331,avenue Jean Babin,19970708000000,33600,Sur chaussée classique,4,,58/Corol 35,,20010101000000,,19990810000000,,,Poteau,,,,Le B.E.C,,,,,PESSAC,,,,,,,,BUS,20170830151000,20170830175112
242,360,1244,face au 75/77 avenue du Dauphiné,20060721000000,33600,Sur chaussée classique,14,,,,20010101000000,20060126000000,19990830000000,20060126000000,19990830000000,Abribus V1 non éclairé,,,,Dauphiné,20.115,,,,PESSAC,,,,,,,,,20170830151000,20170830171644
243,360,1235,15 rue Jules Michelet,19970711000000,33700,Sur chaussée classique,14,,23/Flexo 54,,20010101000000,,19991125000000,,,Poteau,,,,Michelet,,,,,MERIGNAC,,,,,,,,BUS,20170830151000,20170830175112
245,360,3719,place Pey Berland,20041012000000,33000,,11,,A,,20010101000000,20031221000000,20031221000000,20031221000000,20031221000000,abribus tramway,,,,HOTEL DE VILLE,,,,,BORDEAUX,,,,,,,,TRAM,20170830151000,20170830175112
248,360,2982,36 avenue de Saint Medard,20110929000000,33700,Sur chaussée classique,4,,83/Lianes 3,,20010101000000,20031125000000,19990827000000,20100222000000,,Poteau,,,,Le Grand Louis,,,,,MERIGNAC,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180636
251,360,1683,CD 10,20040929000000,33810,Sur chaussée classique,8,,93,,20010101000000,20040511000000,20001020000000,20040511000000,,Poteau,,,,Mirambeau,,,,,AMBES,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180636
252,360,2886,48/50 rue Debussy,20010905000000,33140,Sur chaussée classique,8,,Corol 36,,20010101000000,19990830000000,20130902000000,20160829000000,19990830000000,Poteau,,,,Rameau,,,,,VILLENAVE-D'ORNON,,,,,,,,BUS,20170830151000,20170830175116
253,360,748,17 rue Frantz Schrader,20060718000000,33270,Sur chaussée classique,6,,28/Flexo 52,,20010101000000,20060320000000,20000128000000,20060320000000,,Abribus V1 éclairé,,,,Béraldi,14.15,,,,FLOIRAC,,,,,,,,BUS,20170830151000,20170830175116
258,360,485,avenue Roger Chaumet,20070921000000,33600,Sur chaussée classique,8,,,,20010101000000,20070705000000,20070705000000,,,Poteau,,,,Pessac Gare,,,,,PESSAC,,,,,,,,,20170830151000,20170830171828
259,360,3561,33 avenue Pasteur,20111007000000,33270,Sur chaussée classique,6,,Lianes 10,,20010101000000,20060707000000,20020404000000,20060707000000,20020404000000,Abribus V1 éclairé,,,,Mairie de Floirac,14.28,,,,FLOIRAC,,,,,,,,BUS,20170830151000,20170830175116
260,360,2727,face au 3 route de Léognan,20070925000000,33140,Sur chaussée classique,14,,Lianes 5 Sud,,20010101000000,20000601000000,19990818000000,20050712000000,20070601000000,Abribus V1,,,,Camparian,27.03,,,,VILLENAVE-D'ORNON,,,,,,,,BUS,20170830151000,20170830175116
261,360,2444,28/34 place Gambetta,20121023000000,33000,Sur chaussée classique,14,,Lianes 15/Lianes 4/Lianes 5 Nord,,20010101000000,20110614000000,20040830000000,20151001000000,,Abribus V2 non éclairé,Abribus V2,,,Gambetta, 7.240,7.410,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175116
262,360,457,188 avenue Louis Barthou,20090803000000,33200,Sur chaussée classique,4,,Lianes 2,,20010101000000,,19990907000000,20080904000000,,Abribus V4,,,,Lestonnat,7-340,,,,BORDEAUX,,NON,NON,,,,,BUS,20170830151000,20170830180636
266,360,327,avenue Charles de gaulle (face aux serres de Majolan),20121030000000,33320,Sur chaussée classique,4,,29/Spécifique 78,,20010101000000,20120615000000,19990902000000,,,Poteau,,,,Les Jalles,,,,,EYSINES,,,,,,,,BUS,20170830151000,20170830175116
270,360,5795,face au 86/87B rue Amédée Saint Germain,20100729000000,33800,Sur chaussée classique,6,,Lianes 10,,20100222000000,20100222000000,20100222000000,20100222000000,20100121000000,Poteau,,,,Billaudel,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175116
271,360,1390,149 cours du Maréchal Galliéni,19970709000000,33000,Sur chaussée classique,14,,Lianes 4,,20010101000000,,19990730000000,,,Poteau,,,,Edison,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175116
273,360,5472,8 rue Gustave Eiffel,20080725000000,33290,Sur chaussée classique,4,,29,,20080325000000,20080325000000,20080526000000,20080325000000,20080325000000,Poteau,,,,Parc des Lacs,,,,,BLANQUEFORT,,,,,,,,BUS,20170830151000,20170830175116
276,360,1008,quai Alfred de Vial (côté impair),19970731000000,33530,Sur chaussée classique,8,,91,,20010101000000,,20001020000000,,,Poteau,,,,U.C.B.B,,,,,BASSENS,,,,,,,,BUS,20170830151000,20170830175116
279,360,1035,face au 88 rue du Pradas,20111003000000,33700,Sur chaussée classique,14,,Citéis 42,,20010101000000,,20000605000000,20081101000000,,Abribus V1,,,,Pradas,18.151,,,,MERIGNAC,,,,,,,,BUS,20170830151000,20170830175116
280,360,1337,27 avenue François Mitterrand,19970717000000,33270,Sur chaussée classique,6,,28/Flexo 52,,20010101000000,,20000128000000,,,Poteau,,,,Rébédech,,,,,FLOIRAC,,,,,,,,BUS,20170830151000,20170830175116
283,360,1182,48 rue Jean Goujon,19970723000000,33160,Sur chaussée classique,8,,71/Flexo 55 Résa,,20010101000000,,19990827000000,,,Poteau,,,,Mazeau,,,,,SAINT-MEDARD-EN-JALLES,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180640
284,360,814,42 Avenue Victor Hugo,19970711000000,33700,Sur chaussée classique,14,,Citéis 42,,20010101000000,,19991125000000,,,Poteau,,,,Vallon,,,,,MERIGNAC,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180640
287,360,4043,rond point stade d'Ornon,20111004000000,33170,Voie protégée,8,,21,,20010101000000,20040703000000,20100222000000,20060111000000,20040703000000,Poteau,,,,Stade Ornon,,,,,GRADIGNAN,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180640
290,360,227,303 route de Toulouse,19970704000000,33140,Sur chaussée classique,14,,Lianes 5 Sud,,20010101000000,,19990818000000,,,Poteau,,,,Farvarque,,,,,VILLENAVE-D'ORNON,,,,,,,,BUS,20170830151000,20170830175116
291,360,5730,15 chemin du Passage de la Côte,20100721000000,33140,Sur chaussée classique,8,,Citéis 89,,20100222000000,20100222000000,20100222000000,20100222000000,20100222000000,Poteau,,,,Pagnol,,,,,VILLENAVE-D'ORNON,,,,,,,,BUS,20170830151000,20170830175116
293,360,6741,rue d'Armagnac,20141024000000,33800,Sur chaussée classique,6,,Lianes 11,,20100401000000,20100401000000,20100401000000,20131211000000,20100401000000,Poteau,,,,Terres de Borde,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175116
299,360,6982,109 avenue Ausone,20131014000000,33110,Sur chaussée classique,4,,Citéis 46/Corol 33,,20130715000000,20130715000000,20130715000000,20150107000000,20130715000000,Poteau mobile,,,,Avenue Ausone,,,,,LE BOUSCAT,,,,,,,,BUS,20170830151000,20170830175116
303,360,6334,rue Jean Prat,20100804000000,33440,Sur chaussée classique,8,,Flexo 49/Flexo 50 Résa,,20100222000000,20100222000000,20100222000000,20100222000000,20100222000000,Poteau,,,,Jean Prat,,,,,AMBARES-ET-LAGRAVE,,,,,,,,BUS,20170830151000,20170830175116
309,360,948,337/339 rue Pasteur,19970722000000,33200,Sur chaussée norme access,4,,Lianes 16,,20010101000000,20141103000000,19990716000000,,20141103000000,Poteau,,,,Deveaux,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175116
311,360,1051,75 bis avenue Pasteur,19970723000000,33185,Sur chaussée classique,4,,30/Lianes 3,,20010101000000,,19990827000000,,,Poteau,,,,Collège Emile Zola,,,,,LE HAILLAN,,,,,,,,BUS,20170830151000,20170830175116
312,360,1790,avenue de La Gardette,19970718000000,33310,Hors chaussée intégral,8,,93,,20010101000000,,20080526000000,20151030000000,,Poteau,,,,Avenue de Bordeaux,,,,,LORMONT,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180640
313,360,3656,27/29 rue Saint-James,20040930000000,33530,Sur chaussée classique,8,,90,,20010101000000,20040703000000,20040703000000,20040703000000,20040703000000,Poteau,,,,Clémentel,,,,,BASSENS,,,,,,,,BUS,20170830151000,20170830175116
315,360,5289,23 avenue de Bretagne,20070918000000,33600,Hors chaussée intégral,8,,Citéis 44,,20070705000000,20070705000000,20070705000000,20070705000000,20070705000000,Poteau,,,,Canaris,,,,,PESSAC,,,,,,,,BUS,20170830151000,20170830175116
316,360,2033,face au 31 avenue du 8 mai 45,19970827000000,33290,Sur chaussée classique,4,,Corol 37,,20010101000000,,20000906000000,,,Poteau,,,,8 Mai,,,,,BLANQUEFORT,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180640
1,360,1411,rue Pierre Ramond,20110928000000,33160,Sur chaussée classique,8,,71/Flexo 55 Résa,,20010101000000,20050901000000,20150126000000,,,Poteau,,,,Cerema,,,,,SAINT-MEDARD-EN-JALLES,,,,,,,,BUS,20170830151000,20170830175112
3,360,1000,109 CD 107,19970723000000,33160,Sur chaussée classique,4,,Flexo 55 Résa/Lianes 3,20,20010101000000,,19990827000000,,,Poteau,,,,Malterre,,,,,SAINT-MEDARD-EN-JALLES,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180636
4,360,123,avenue de la Marne,19970730000000,33520,Sur chaussée classique,4,,,,20010101000000,,20000919000000,,,Poteau,,,,Gabriel Fauré,,,,,BRUGES,,,,,,,,,20170830151000,20170830171644
5,360,1251,64 avenue des Echoppes,19970708000000,33600,Sur chaussée classique,14,,,,20010101000000,,19990830000000,,,Poteau,,,,Les Echoppes,,,,,PESSAC,,,,,,,,,20170830151000,20170830171644
6,360,276,10 rue Henri Béraldi,19970717000000,33270,Sur chaussée classique,6,,28/Flexo 52,,20010101000000,,20000128000000,,,Poteau,,,,Béraldi,,,,,FLOIRAC,,,,,,,,BUS,20170830151000,20170830175112
