GID,GEOM_O,IDENT,ADRESSE,CAMPGPS,CODEPOST,NATURE,IDMOUVT,IDSAE,LIGNEDES,LONGARR,DATECREA,DATEDEPL,DATEGEAR,DATEGEMO,DATEGEVO,MOBILIE1,MOBILIE2,MOBILIE3,MOBILIE4,NOMARRET,REFMOB1,REFMOB2,REFMOB3,REFMOB4,VILLE,ARSCOL,PRESCORB,CONFORT,NIVACPMR,PHOTO,ARTRAN,NIVSERV,RESEAU,CDATE,MDATE
4061,360,3277,rue Claudeville,19990830000000,33520,Sur chaussée classique,14,,Corol 33/Corol 35,,20010101000000,19980831000000,19991018000000,19980831000000,19980831000000,Poteau,,,,Claudeville,,,,,BRUGES,,,,,,,,BUS,20170830151000,20170830175144
3294,360,3278,6 place Gambetta,20121023000000,33000,Sur chaussée norme access,14,,Lianes 5 Nord,,20010101000000,20050711000000,19990716000000,20120903000000,20120903000000,Abribus V2,,,,Gambetta,7.407,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175136
967,360,3281,face au 182 avenue du Maréchal Leclerc,20060719000000,33130,Sur chaussée classique,8,,Corol 36,,20010101000000,20051110000000,19990705000000,20051110000000,19980831000000,Abribus V1 non éclairé,,,,Parc d'Activité du Grand Port,5.21,,,,BEGLES,,,,,,,,BUS,20170830151000,20170830175120
1882,360,3283,Chemin de Cornier,20060718000000,33270,Sur chaussée classique,8,,Corol 32,,20010101000000,20060227000000,20000128000000,20060227000000,,Abribus V1 éclairé,,,,Collège G.Rayet,14.32,,,,FLOIRAC,,,,,,,,BUS,20170830151000,20170830175124
642,360,3284,208 avenue Jean Mermoz,19990825000000,33320,Sur chaussée classique,4,,,,20010101000000,,19990830000000,20080416000000,,"Abribus ""mobile""",,,,Avenue St Médard,,,,,EYSINES,,,,,,,,,20170830151000,20170830171756
1762,360,3289,face au 77 avenue du Maréchal de Lattre de Tassigny,20060719000000,33130,Sur chaussée classique,8,,Corol 36,,20010101000000,20060227000000,19990705000000,20060227000000,19980831000000,Abribus V4 éclairé,,,,Mairie de Bègles,5.19,,,,BEGLES,,,,,,,,BUS,20170830151000,20170830175124
507,360,328,face au 13 avenue Pasteur,19970725000000,33185,Sur chaussée classique,4,,Lianes 3,20,20010101000000,,19990827000000,,,Poteau,,,,Mermoz,,,,,LE HAILLAN,,,,,,,,BUS,20170830151000,20170830175116
1884,360,3294,avenue Schweitzer,20060803000000,33400,Sur chaussée classique,6,,58/87/Corol 34,,20010101000000,20060313000000,19990810000000,20060313000000,,Abribus V1 non éclairé,,,,Village 1,26.12,,,,TALENCE,,,,,,,,BUS,20170830151000,20170830175124
2692,360,3295,face au 20 rue des Colombes,20060717000000,33310,Sur chaussée classique,6,,Citéis 40,,20010101000000,20060103000000,20000201000000,20060103000000,,Abribus V2 non éclairé,,,,Palombes,17.32,,,,LORMONT,,,,,,,,BUS,20170830151000,20170830175132
288,360,3296,rue du 19 mars 1962 (côté impair),20131010000000,33810,Sur chaussée classique,8,,91/92/93/Flexo 50 Résa,,20010101000000,20060411000000,20001020000000,20060411000000,,Poteau,,,,Docteur Couaillac,,,,,AMBES,,,,,,,,BUS,20170830151000,20170830175116
1427,360,3297,22 avenue de la Boétie,20060726000000,33320,Sur chaussée classique,14,,Corol 37/Lianes 5 Nord/Spécifique 79/Spécifique 85,,20010101000000,20060118000000,19990902000000,20060118000000,19981209000000,Abribus V2 non éclairé,,,,Avenue de la Boétie,25.05,,,,LE TAILLAN-MEDOC,,,,,,,,BUS,20170830151000,20170830175120
1885,360,3298,face au 12 avenue du Professeur Vincent,20131010000000,33310,Sur chaussée classique,6,,Citéis 40/Citéis 45 DPC/Flexo 50/Lianes 7,,20010101000000,20060227000000,20000201000000,20130502000000,,Abribus V2,,,,Professeur Vincent,17.28,,,,LORMONT,,,,,,,,BUS,20170830151000,20170830175124
670,360,3300,6 rue Auguste Brutails,20060713000000,33310,Sur chaussée classique,6,,Citéis 40/Citéis 45 DPC/Flexo 50/Lianes 7/Lianes 7 DPC,,20010101000000,20051213000000,20000201000000,20051213000000,,Abribus V2 non éclairé,,,,Brutails,17.26,,,,LORMONT,,,,,,,,BUS,20170830151000,20170830175116
